day,minute,method,success_rate,n_worst
6,30,astar_fixed,0.0,3
6,60,astar_fixed,0.0,3
6,450,astar_fixed,0.0,3
6,480,astar_fixed,1.0,3
6,510,astar_fixed,1.0,3
6,540,astar_fixed,1.0,3
6,570,astar_fixed,1.0,3
6,600,astar_fixed,1.0,3
6,630,astar_fixed,1.0,3
6,660,astar_fixed,1.0,3
6,690,astar_fixed,1.0,3
6,720,astar_fixed,1.0,3
6,750,astar_fixed,1.0,3
6,780,astar_fixed,1.0,3
6,810,astar_fixed,1.0,3
6,840,astar_fixed,1.0,3
6,870,astar_fixed,1.0,3
6,960,astar_fixed,1.0,3
6,990,astar_fixed,1.0,3
6,1020,astar_fixed,1.0,3
6,1050,astar_fixed,1.0,3
6,1080,astar_fixed,0.3333333333333333,3
6,1110,astar_fixed,1.0,3
6,1140,astar_fixed,1.0,3
6,1200,astar_fixed,1.0,3
6,1230,astar_fixed,1.0,3
6,1350,astar_fixed,0.0,3
7,30,astar_fixed,0.0,3
7,60,astar_fixed,0.3333333333333333,3
7,450,astar_fixed,0.0,3
7,480,astar_fixed,0.0,3
7,570,astar_fixed,1.0,3
7,630,astar_fixed,1.0,3
7,660,astar_fixed,1.0,3
7,690,astar_fixed,1.0,3
7,720,astar_fixed,1.0,3
7,750,astar_fixed,1.0,3
7,780,astar_fixed,1.0,3
7,810,astar_fixed,1.0,3
7,840,astar_fixed,1.0,3
7,870,astar_fixed,1.0,3
7,930,astar_fixed,1.0,3
7,960,astar_fixed,1.0,3
7,1020,astar_fixed,1.0,3
7,1050,astar_fixed,1.0,3
7,1080,astar_fixed,1.0,3
7,1110,astar_fixed,1.0,3
7,1140,astar_fixed,1.0,3
7,1170,astar_fixed,1.0,3
7,1200,astar_fixed,1.0,3
7,1230,astar_fixed,1.0,3
7,1380,astar_fixed,0.0,3
7,1410,astar_fixed,0.3333333333333333,3
6,30,astar_regime,0.0,3
6,60,astar_regime,0.0,3
6,450,astar_regime,0.0,3
6,480,astar_regime,1.0,3
6,510,astar_regime,1.0,3
6,540,astar_regime,1.0,3
6,570,astar_regime,1.0,3
6,600,astar_regime,1.0,3
6,630,astar_regime,1.0,3
6,660,astar_regime,1.0,3
6,690,astar_regime,1.0,3
6,720,astar_regime,1.0,3
6,750,astar_regime,1.0,3
6,780,astar_regime,1.0,3
6,810,astar_regime,1.0,3
6,840,astar_regime,1.0,3
6,870,astar_regime,1.0,3
6,960,astar_regime,1.0,3
6,990,astar_regime,1.0,3
6,1020,astar_regime,1.0,3
6,1050,astar_regime,1.0,3
6,1080,astar_regime,1.0,3
6,1110,astar_regime,1.0,3
6,1140,astar_regime,1.0,3
6,1200,astar_regime,1.0,3
6,1230,astar_regime,1.0,3
6,1350,astar_regime,0.0,3
7,30,astar_regime,0.0,3
7,60,astar_regime,0.3333333333333333,3
7,450,astar_regime,0.0,3
7,480,astar_regime,0.0,3
7,570,astar_regime,1.0,3
7,630,astar_regime,1.0,3
7,660,astar_regime,1.0,3
7,690,astar_regime,1.0,3
7,720,astar_regime,1.0,3
7,750,astar_regime,1.0,3
7,780,astar_regime,1.0,3
7,810,astar_regime,1.0,3
7,840,astar_regime,1.0,3
7,870,astar_regime,1.0,3
7,930,astar_regime,1.0,3
7,960,astar_regime,1.0,3
7,1020,astar_regime,1.0,3
7,1050,astar_regime,1.0,3
7,1080,astar_regime,1.0,3
7,1110,astar_regime,1.0,3
7,1140,astar_regime,1.0,3
7,1170,astar_regime,1.0,3
7,1200,astar_regime,1.0,3
7,1230,astar_regime,1.0,3
7,1380,astar_regime,0.0,3
