day,minute,order_id,courier_id,regime,pickup_dist_km,order_dist_km,tw_end,delivered_predicted,delivered_actual,slack_min,noise_min,on_time,on_time_8b,method
6,2,85109,2854.0,0,0.349,0.429,32,12.67,12.67,19.33,0.0,1,1,greedy
6,14,482388,2854.0,0,0.135,1.501,43,32.02,33.37,9.63,1.35,1,1,greedy
6,14,214868,2150.0,0,0.401,0.208,44,23.22,23.41,20.59,0.19,1,1,greedy
6,20,487500,2854.0,0,0.438,1.268,62,50.65,52.06,9.94,1.41,1,1,greedy
6,24,453544,1225.0,0,0.234,2.494,63,51.38,51.55,11.45,0.16,1,1,greedy
6,26,199974,1225.0,0,0.284,0.303,64,60.41,60.41,3.59,0.0,1,1,greedy
6,28,40851,1746.0,0,0.742,2.602,67,60.67,61.53,5.47,0.86,1,1,greedy
6,36,497865,5.0,0,0.407,0.525,66,47.99,47.99,18.01,0.0,1,1,greedy
6,42,400171,2150.0,0,0.208,1.721,81,62.53,62.95,18.05,0.41,1,1,greedy
6,44,350802,5.0,0,0.242,2.243,81,73.29,74.46,6.54,1.17,1,1,greedy
6,46,544813,1225.0,0,0.679,0.717,81,76.38,77.12,3.88,0.73,1,1,greedy
6,58,518693,1746.0,0,0.687,0.98,92,78.95,79.3,12.7,0.35,1,1,greedy
6,60,266882,2150.0,0,0.501,1.057,90,79.89,79.89,10.11,0.0,1,1,greedy
6,64,208885,1225.0,0,0.883,1.355,103,99.56,99.56,3.44,0.0,1,1,greedy
6,66,336876,5.0,0,0.617,0.976,96,90.95,90.95,5.05,0.0,1,1,greedy
6,68,378429,2854.0,0,1.349,2.427,108,104.37,105.71,2.29,1.34,1,1,greedy
6,70,197002,2150.0,0,0.938,0.755,104,98.4,98.96,5.04,0.57,1,1,greedy
6,80,167336,1746.0,0,0.98,0.844,109,99.64,100.5,8.5,0.86,1,1,greedy
6,102,137008,5.0,0,0.695,1.019,132,120.69,121.8,10.2,1.11,1,1,greedy
6,420,40863,5.0,0,0.64,0.921,450,437.38,437.8,12.2,0.43,1,1,greedy
6,422,217850,1240.0,0,0.416,1.167,451,439.56,439.56,11.44,0.0,1,1,greedy
6,422,542223,780.0,0,0.152,0.671,451,433.05,433.05,17.95,0.0,1,1,greedy
6,422,202928,2466.0,0,0.522,1.026,452,439.27,439.27,12.73,0.0,1,1,greedy
6,426,202929,2854.0,0,0.698,1.438,456,448.31,448.31,7.69,0.0,1,1,greedy
6,428,137017,1329.0,0,0.063,0.874,457,440.03,440.17,16.83,0.13,1,1,greedy
6,428,208892,780.0,0,0.173,0.572,459,443.44,443.44,15.56,0.0,1,1,greedy
6,428,356439,2150.0,0,1.673,1.103,461,455.79,455.91,5.09,0.12,1,1,greedy
6,432,356440,780.0,0,0.178,0.98,462,457.36,457.36,4.64,0.0,1,1,greedy
6,434,82084,1240.0,0,0.323,0.221,464,448.23,448.23,15.77,0.0,1,1,greedy
6,438,292430,272.0,0,0.28,1.085,467,453.7,456.1,10.9,2.4,1,1,greedy
6,438,505736,2466.0,0,0.46,1.979,467,464.17,464.17,2.83,0.0,1,1,greedy
6,444,292431,2854.0,0,0.457,0.968,473,464.53,465.4,7.6,0.87,1,1,greedy
6,446,487511,2170.0,0,0.266,1.511,477,465.23,465.23,11.77,0.0,1,1,greedy
6,448,211865,272.0,0,0.042,0.881,478,465.61,466.09,11.91,0.48,1,1,greedy
6,450,170352,1329.0,0,0.513,1.535,480,471.56,472.41,7.59,0.85,1,1,greedy
6,450,312192,1240.0,0,0.091,2.331,480,474.76,475.03,4.97,0.27,1,1,greedy
6,450,217852,1931.0,0,0.06,2.003,480,471.68,471.68,8.32,0.0,1,1,greedy
6,452,124809,537.0,0,0.981,0.218,481,466.28,466.8,14.2,0.52,1,1,greedy
6,452,261283,2150.0,0,1.673,0.537,481,478.73,479.82,1.18,1.09,1,1,greedy
6,452,432200,996.0,0,0.027,0.412,481,459.76,462.23,18.77,2.47,1,1,greedy
6,452,167347,1746.0,0,0.967,1.596,483,477.97,477.97,5.03,0.0,1,1,greedy
6,454,500500,1240.0,0,0.091,0.47,484,483.57,484.88,-0.88,1.31,0,1,greedy
6,456,464021,987.0,0,0.553,0.662,485,470.41,471.2,13.8,0.78,1,1,greedy
6,456,146192,5.0,0,1.501,2.125,492,491.08,492.61,-0.61,1.53,0,1,greedy
6,460,278342,2191.0,0,0.544,0.974,489,477.01,478.29,10.71,1.28,1,1,greedy
6,460,85121,529.0,0,0.025,0.985,490,472.66,472.78,17.22,0.12,1,1,greedy
6,462,356445,2191.0,0,0.616,0.664,492,491.98,492.07,-0.07,0.09,0,1,greedy
6,462,8814,2170.0,0,0.085,0.681,492,475.79,475.79,16.21,0.0,1,1,greedy
6,462,2394,2771.0,0,0.241,2.676,501,491.0,491.0,10.0,0.0,1,1,greedy
6,464,226541,2170.0,0,0.627,0.132,493,486.3,486.3,6.7,0.0,1,1,greedy
6,464,5567,529.0,0,0.086,1.923,494,493.88,495.51,-1.51,1.64,0,1,greedy
6,464,529222,1240.0,0,0.147,0.367,494,491.98,492.15,1.85,0.17,1,1,greedy
6,464,529223,1328.0,0,0.685,1.911,494,490.25,490.28,3.72,0.03,1,1,greedy
6,464,511006,1329.0,0,0.513,0.404,496,483.42,483.42,12.58,0.0,1,1,greedy
6,466,370225,3241.0,0,0.105,1.067,495,480.05,480.05,14.95,0.0,1,1,greedy
6,466,127879,2466.0,0,0.598,2.297,499,494.82,495.73,3.27,0.92,1,1,greedy
6,466,208896,958.0,0,0.012,2.175,501,488.75,488.75,12.25,0.0,1,1,greedy
6,466,511007,544.0,0,0.007,1.104,504,479.52,479.52,24.48,0.0,1,1,greedy
6,468,164347,2106.0,0,0.05,0.808,497,479.35,481.25,15.75,1.89,1,1,greedy
6,468,40869,1282.0,0,0.454,1.367,497,487.61,487.61,9.39,0.0,1,1,greedy
6,468,328695,2854.0,0,0.968,0.95,498,488.44,488.44,9.56,0.0,1,1,greedy
6,470,350818,1674.0,0,0.072,1.493,500,487.42,487.62,12.38,0.21,1,1,greedy
6,470,28106,1947.0,0,0.258,2.243,504,495.43,497.12,6.88,1.68,1,1,greedy
6,472,34500,2431.0,0,0.312,2.381,501,499.08,499.08,1.92,0.0,1,1,greedy
6,472,456110,958.0,0,0.008,0.847,501,500.07,500.07,0.93,0.0,1,1,greedy
6,472,78893,2106.0,0,0.299,1.407,502,497.98,498.65,3.35,0.67,1,1,greedy
6,472,37662,272.0,0,0.722,0.892,502,489.83,489.83,12.17,0.0,1,1,greedy
6,472,47449,544.0,0,0.007,1.575,502,497.08,497.08,4.92,0.0,1,1,greedy
6,472,158185,2039.0,0,0.072,0.609,502,481.84,481.84,20.16,0.0,1,1,greedy
6,474,300888,2771.0,0,0.521,0.271,504,501.79,503.15,0.85,1.36,1,1,greedy
6,476,72575,1674.0,0,0.298,0.59,505,499.03,500.15,4.85,1.12,1,1,greedy
6,476,500503,2170.0,0,0.197,1.057,506,501.04,501.04,4.96,0.0,1,1,greedy
6,478,91382,537.0,0,1.03,0.918,507,498.7,498.7,8.3,0.0,1,1,greedy
6,478,258343,996.0,0,0.304,1.875,507,500.68,501.55,5.45,0.87,1,1,greedy
6,478,416230,3241.0,0,0.538,1.669,507,502.97,503.58,3.42,0.61,1,1,greedy
6,478,264096,2150.0,0,1.12,0.85,508,499.62,499.63,8.37,0.01,1,1,greedy
6,478,85124,2039.0,0,0.936,0.38,509,497.12,497.2,11.8,0.07,1,1,greedy
6,480,66330,2426.0,0,0.301,1.536,509,499.75,499.75,9.25,0.0,1,1,greedy
6,480,100755,958.0,0,0.012,0.52,509,508.63,508.63,0.37,0.0,1,1,greedy
6,480,434907,1947.0,0,0.258,0.295,509,504.17,504.17,4.83,0.0,1,1,greedy
6,480,508346,1282.0,0,0.484,1.341,509,507.26,507.26,1.74,0.0,1,1,greedy
6,480,508347,2854.0,0,0.968,0.856,511,508.07,508.89,2.11,0.82,1,1,greedy
6,484,445576,2431.0,0,0.312,0.707,513,511.81,511.81,1.19,0.0,1,1,greedy
6,484,5570,1329.0,0,0.404,1.466,513,504.03,504.03,8.97,0.0,1,1,greedy
6,484,44193,1328.0,0,0.632,1.033,514,508.52,509.2,4.8,0.68,1,1,greedy
6,484,161306,544.0,0,0.528,0.144,514,506.84,507.02,6.98,0.18,1,1,greedy
6,484,400190,2771.0,0,0.098,0.259,514,508.85,509.93,4.07,1.08,1,1,greedy
6,486,518704,1746.0,0,0.168,0.072,515,492.06,493.42,21.58,1.36,1,1,greedy
6,486,416232,5.0,0,0.673,1.194,516,511.08,512.77,3.23,1.69,1,1,greedy
6,488,94490,1328.0,0,0.213,0.264,517,516.61,516.83,0.17,0.21,1,1,greedy
6,488,378450,1225.0,0,0.033,1.008,518,500.93,500.93,17.07,0.0,1,1,greedy
6,488,434909,1240.0,0,0.528,0.823,518,507.55,507.55,10.45,0.0,1,1,greedy
6,488,130962,2431.0,0,0.1,0.494,523,520.91,520.91,2.09,0.0,1,1,greedy
6,490,334217,1746.0,0,0.156,1.858,519,513.32,513.84,5.16,0.52,1,1,greedy
6,490,353679,2170.0,0,0.132,0.026,520,506.39,506.39,13.61,0.0,1,1,greedy
6,490,40873,1947.0,0,0.429,0.996,521,520.38,521.75,-0.75,1.37,0,1,greedy
6,490,269773,1225.0,0,0.033,1.81,524,520.73,522.39,1.61,1.67,1,1,greedy
6,492,143155,1240.0,0,0.136,0.627,521,518.09,518.09,2.91,0.0,1,1,greedy
6,492,220802,537.0,0,0.218,1.551,521,517.86,517.86,3.14,0.0,1,1,greedy
6,492,197012,2039.0,0,0.65,1.141,522,516.48,516.48,5.52,0.0,1,1,greedy
