method,regime,regime_name,n_arrived,n_assignments,n_on_time,n_on_time_8b,on_time_rate,on_time_rate_8b,throughput,success_rate,success_rate_8b,mean_pickup_km,mean_order_km,mean_slack_min
astar_fixed,0,Quiet,1554,1447,1430,1447,0.9883,1.0,0.9311,0.9202,0.9311,0.501,1.124,8.83
astar_fixed,1,Lunch Rush,1692,1378,970,1302,0.7039,0.9448,0.8144,0.5733,0.7695,0.479,1.032,2.77
astar_fixed,2,Afternoon,1265,1244,1183,1244,0.951,1.0,0.9834,0.9352,0.9834,0.501,1.171,8.92
astar_fixed,3,Dinner Peak,1268,1086,823,1066,0.7578,0.9816,0.8565,0.6491,0.8407,0.593,1.028,3.13
astar_regime,0,Quiet,1554,1450,1436,1450,0.9903,1.0,0.9331,0.9241,0.9331,0.5,1.131,9.14
astar_regime,1,Lunch Rush,1692,1387,964,1306,0.695,0.9416,0.8197,0.5697,0.7719,0.471,1.03,2.78
astar_regime,2,Afternoon,1265,1254,1190,1254,0.949,1.0,0.9913,0.9407,0.9913,0.506,1.179,8.96
astar_regime,3,Dinner Peak,1268,1105,843,1088,0.7629,0.9846,0.8715,0.6648,0.858,0.576,1.032,3.37
greedy,0,Quiet,1554,1463,1398,1463,0.9556,1.0,0.9414,0.8996,0.9414,0.435,1.116,6.36
greedy,1,Lunch Rush,1692,1375,859,1264,0.6247,0.9193,0.8126,0.5077,0.747,0.453,1.013,0.96
greedy,2,Afternoon,1265,1220,1040,1219,0.8525,0.9992,0.9644,0.8221,0.9636,0.413,1.15,5.16
greedy,3,Dinner Peak,1268,1093,743,1059,0.6798,0.9689,0.862,0.586,0.8352,0.546,1.028,1.57
