episode,total_reward,on_time,late,on_time_rate,use_regime
0,-4508.083405027637,53,8,0.8688524590163934,True
1,-4508.083405027637,53,8,0.8688524590163934,True
2,-4508.083405027637,53,8,0.8688524590163934,True
3,-4508.083405027637,53,8,0.8688524590163934,True
4,-4508.083405027637,53,8,0.8688524590163934,True
0,-4921.0,30,5,0.8571428571428571,False
1,-4921.0,30,5,0.8571428571428571,False
2,-4921.0,30,5,0.8571428571428571,False
3,-4921.0,30,5,0.8571428571428571,False
4,-4921.0,30,5,0.8571428571428571,False
0,-5233.0,3,3,0.5,greedy
1,-5233.0,3,3,0.5,greedy
2,-5233.0,3,3,0.5,greedy
3,-5233.0,3,3,0.5,greedy
4,-5233.0,3,3,0.5,greedy
