episode,reward_with_regime,reward_without_regime
0,-4655.0,-4757.5
1,-4684.0,-4706.0
2,-4532.5,-4679.0
3,-4720.5,-4656.0
4,-4559.0,-4612.5
5,-4625.0,-4641.5
6,-4636.5,-4641.5
7,-4574.0,-4663.5
8,-4789.0,-4727.0
9,-4725.0,-4629.5
10,-4698.0,-4664.5
11,-4717.0,-4560.5
12,-4609.0,-4787.0
13,-4649.5,-4589.5
14,-4801.5,-4613.0
15,-4713.5,-4762.5
16,-4583.5,-4564.0
17,-4638.0,-4592.0
18,-4645.5,-4531.0
19,-4641.5,-4707.5
20,-4802.0,-4588.0
21,-4703.0,-4666.5
22,-4696.5,-4630.0
23,-4595.0,-4602.0
24,-4612.0,-4558.0
25,-4659.5,-4667.5
26,-4734.5,-4730.0
27,-4587.5,-4687.5
28,-4651.0,-4641.5
29,-4705.5,-4709.0
30,-4711.0,-4654.5
31,-4719.5,-4660.0
32,-4536.5,-4635.0
33,-4602.5,-4578.5
34,-4521.5,-4694.0
35,-4679.0,-4450.0
36,-4521.5,-4672.5
37,-4695.5,-4690.0
38,-4589.0,-4586.0
39,-4609.0,-4597.0
40,-4743.5,-4621.0
41,-4511.5,-4671.0
42,-4667.0,-4651.0
43,-4514.0,-4620.5
44,-4508.0,-4606.5
45,-4704.0,-4538.0
46,-4606.0,-4563.0
47,-4653.5,-4667.5
48,-4634.0,-4518.0
49,-4590.0,-4518.5
50,-4654.0,-4604.5
51,-4617.5,-4619.5
52,-4716.5,-4604.0
53,-4572.0,-4555.5
54,-4567.5,-4610.5
55,-4643.0,-4631.0
56,-4577.0,-4640.0
57,-4609.0,-4548.5
58,-4631.5,-4487.0
59,-4604.0,-4726.0
60,-4604.5,-4603.5
61,-4504.5,-4572.5
